displayName,office,party,wyoleg
Brian Boner,S02,REP,https://www.wyoleg.gov/Legislators/2026/S/2021
Tara Nethercott,S04,REP,https://www.wyoleg.gov/Legislators/2026/S/2029
Jared Olsen,S08,REP,https://www.wyoleg.gov/Legislators/2026/S/2035
Gary Crum,S10,REP,https://www.wyoleg.gov/Legislators/2026/S/2144
John Kolb,S12,REP,https://www.wyoleg.gov/Legislators/2026/S/2066
Laura Pearson,S14,REP,https://www.wyoleg.gov/Legislators/2026/S/2138
Dan Dockstader,S16,REP,https://www.wyoleg.gov/Legislators/2026/S/1048
Tim French,S18,REP,https://www.wyoleg.gov/Legislators/2026/S/2067
Ed Cooper,S20,REP,https://www.wyoleg.gov/Legislators/2026/S/2068
Barry Crago,S22,REP,https://www.wyoleg.gov/Legislators/2026/S/2078
Troy McKeown,S24,REP,https://www.wyoleg.gov/Legislators/2026/S/2069
Tim Salazar,S26,REP,https://www.wyoleg.gov/Legislators/2026/S/2028
Jim Anderson,S28,REP,https://www.wyoleg.gov/Legislators/2026/S/1985
Charles Scott,S30,REP,https://www.wyoleg.gov/Legislators/2026/S/294